字段代码,字段(大写),中文名,参数,来源
maturitycallprice,MATURITYCALLPRICE,到期赎回价,,xla去前缀变体
maturitydate,MATURITYDATE,转债到期日期,,xla去前缀变体
maturityspreadcdb,MATURITYSPREADCDB,到期利差(减国开),TRADEDATE,xla去前缀变体
maturityspreadtb,MATURITYSPREADTB,到期利差(减国债),TRADEDATE,xla去前缀变体
maxdown,MAXDOWN,跌停价,TRADEDATE,xla去前缀变体
maxoq,MAXOQ,期货合约最大下单量,TRADEDATE、TYPE,xla去前缀变体
maxup,MAXUP,涨停价,TRADEDATE,xla去前缀变体
maxupordown,MAXUPORDOWN,涨跌停状态,,探测法实测
mcnet_cnbd,MCNET_CNBD,市场净价(新增),DATE,xla去前缀变体
mcyield_cnbd,MCYIELD_CNBD,市场收益率(新增),DATE,xla去前缀变体
mdirty_cnbd,MDIRTY_CNBD,市场全价(新增),DATE,xla去前缀变体
media,MEDIA,信息指定披露媒体,,xla去前缀变体
median,MEDIAN,N日收盘价中位数,,xla去前缀变体
methodology,METHODOLOGY,加权方式,,xla去前缀变体
mf_netinflow,MF_NETINFLOW,净流入额,TRADEDATE,xla去前缀变体
mfd_buyamt_a,MFD_BUYAMT_A,主动买入额,TRADEDATE、TYPE,xla去前缀变体
mfd_buyamt_at,MFD_BUYAMT_AT,主动买入额(全单),TRADEDATE,xla去前缀变体
mfd_buyamt_d,MFD_BUYAMT_D,流入额,TRADEDATE、TYPE,xla去前缀变体
mfd_buyord,MFD_BUYORD,流入单数,TRADEDATE、TYPE,xla去前缀变体
mfd_buyvol_a,MFD_BUYVOL_A,主动买入量,TRADEDATE、TYPE,xla去前缀变体
mfd_buyvol_at,MFD_BUYVOL_AT,主动买入量(全单),TRADEDATE,xla去前缀变体
mfd_buyvol_close_m,MFD_BUYVOL_CLOSE_M,尾盘主力净流入量,TRADEDATE,xla去前缀变体
mfd_buyvol_d,MFD_BUYVOL_D,流入量,TRADEDATE、TYPE,xla去前缀变体
mfd_buyvol_m,MFD_BUYVOL_M,主力净流入量,TRADEDATE,xla去前缀变体
mfd_buyvol_open_m,MFD_BUYVOL_OPEN_M,开盘主力净流入量,TRADEDATE,xla去前缀变体
mfd_inflow_close_m,MFD_INFLOW_CLOSE_M,尾盘主力净流入额,TRADEDATE,xla去前缀变体
mfd_inflow_m,MFD_INFLOW_M,主力净流入额,TRADEDATE,xla去前缀变体
mfd_inflow_open_m,MFD_INFLOW_OPEN_M,开盘主力净流入额,TRADEDATE,xla去前缀变体
mfd_inflowdays,MFD_INFLOWDAYS,区间主力净流入天数,StartDate、EndDate,xla去前缀变体
mfd_inflowproportion_a,MFD_INFLOWPROPORTION_A,净主动买入额占比,TRADEDATE,xla去前缀变体
mfd_inflowproportion_close_a,MFD_INFLOWPROPORTION_CLOSE_A,尾盘净主动买入额占比,TRADEDATE,xla去前缀变体
mfd_inflowproportion_close_m,MFD_INFLOWPROPORTION_CLOSE_M,尾盘主力净流入额占比,TRADEDATE,xla去前缀变体
mfd_inflowproportion_m,MFD_INFLOWPROPORTION_M,主力净流入额占比,TRADEDATE,xla去前缀变体
mfd_inflowproportion_open_a,MFD_INFLOWPROPORTION_OPEN_A,开盘净主动买入额占比,TRADEDATE,xla去前缀变体
mfd_inflowproportion_open_m,MFD_INFLOWPROPORTION_OPEN_M,开盘主力净流入额占比,TRADEDATE,xla去前缀变体
mfd_inflowrate_close_a,MFD_INFLOWRATE_CLOSE_A,尾盘净主动买入率(金额),TRADEDATE,xla去前缀变体
mfd_inflowrate_close_m,MFD_INFLOWRATE_CLOSE_M,尾盘主力净流入率(金额),TRADEDATE,xla去前缀变体
mfd_inflowrate_m,MFD_INFLOWRATE_M,主力净流入率(金额),TRADEDATE,xla去前缀变体
mfd_inflowrate_open_a,MFD_INFLOWRATE_OPEN_A,开盘净主动买入率(金额),TRADEDATE,xla去前缀变体
mfd_inflowrate_open_m,MFD_INFLOWRATE_OPEN_M,开盘主力净流入率(金额),TRADEDATE,xla去前缀变体
mfd_inflowvolume_close_a,MFD_INFLOWVOLUME_CLOSE_A,尾盘资金净主动买入量,TRADEDATE,xla去前缀变体
mfd_inflowvolume_open_a,MFD_INFLOWVOLUME_OPEN_A,开盘资金净主动买入量,TRADEDATE,xla去前缀变体
mfd_netbuyamt,MFD_NETBUYAMT,净买入额,TRADEDATE、TYPE,xla去前缀变体
mfd_netbuyamt_a,MFD_NETBUYAMT_A,净主动买入额,TRADEDATE、TYPE,xla去前缀变体
mfd_netbuyvol,MFD_NETBUYVOL,净买入量,TRADEDATE、TYPE,xla去前缀变体
mfd_netbuyvol_a,MFD_NETBUYVOL_A,净主动买入量,TRADEDATE、TYPE,xla去前缀变体
mfd_sellamt_a,MFD_SELLAMT_A,主动卖出额,TRADEDATE、TYPE,xla去前缀变体
mfd_sellamt_at,MFD_SELLAMT_AT,主动卖出额(全单),TRADEDATE,xla去前缀变体
mfd_sellamt_d,MFD_SELLAMT_D,流出额,TRADEDATE、TYPE,xla去前缀变体
mfd_sellord,MFD_SELLORD,流出单数,TRADEDATE、TYPE,xla去前缀变体
mfd_sellvol_a,MFD_SELLVOL_A,主动卖出量,TRADEDATE、TYPE,xla去前缀变体
mfd_sellvol_at,MFD_SELLVOL_AT,主动卖出量(全单),TRADEDATE,xla去前缀变体
mfd_sellvol_d,MFD_SELLVOL_D,流出量,TRADEDATE、TYPE,xla去前缀变体
mfd_sn_buyamt,MFD_SN_BUYAMT,沪深港股通买入金额,TRADEDATE,xla去前缀变体
mfd_sn_inflow,MFD_SN_INFLOW,沪深港股通净买入金额,TRADEDATE,xla去前缀变体
mfd_sn_sellamt,MFD_SN_SELLAMT,沪深港股通卖出金额,TRADEDATE,xla去前缀变体
mfd_volinflowproportion_close_a,MFD_VOLINFLOWPROPORTION_CLOSE_A,尾盘净主动买入量占比,TRADEDATE,xla去前缀变体
mfd_volinflowproportion_close_m,MFD_VOLINFLOWPROPORTION_CLOSE_M,尾盘主力净流入量占比,TRADEDATE,xla去前缀变体
mfd_volinflowproportion_m,MFD_VOLINFLOWPROPORTION_M,主力净流入量占比,TRADEDATE,xla去前缀变体
mfd_volinflowproportion_open_a,MFD_VOLINFLOWPROPORTION_OPEN_A,开盘净主动买入量占比,TRADEDATE,xla去前缀变体
mfd_volinflowproportion_open_m,MFD_VOLINFLOWPROPORTION_OPEN_M,开盘主力净流入量占比,TRADEDATE,xla去前缀变体
mfd_volinflowrate_a,MFD_VOLINFLOWRATE_A,净主动买入率(量),TRADEDATE,xla去前缀变体
mfd_volinflowrate_close_a,MFD_VOLINFLOWRATE_CLOSE_A,尾盘净主动买入率(量),TRADEDATE,xla去前缀变体
mfd_volinflowrate_close_m,MFD_VOLINFLOWRATE_CLOSE_M,尾盘主力净流入率(量),TRADEDATE,xla去前缀变体
mfd_volinflowrate_m,MFD_VOLINFLOWRATE_M,主力净流入率(量),TRADEDATE,xla去前缀变体
mfd_volinflowrate_open_a,MFD_VOLINFLOWRATE_OPEN_A,开盘净主动买入率(量),TRADEDATE,xla去前缀变体
mfd_volinflowrate_open_m,MFD_VOLINFLOWRATE_OPEN_M,开盘主力净流入率(量),TRADEDATE,xla去前缀变体
mfn_sn_inflowdays,MFN_SN_INFLOWDAYS,持续净流入天数,TRADEDATE,xla去前缀变体
mfn_sn_outflowdays,MFN_SN_OUTFLOWDAYS,持续净卖出天数,TRADEDATE,xla去前缀变体
mfp_sn_inflow,MFP_SN_INFLOW,沪深港股通区间净买入额,StartDate、EndDate,xla去前缀变体
mfp_sn_inflowamt,MFP_SN_INFLOWAMT,区间净买入金额,StartDate、EndDate,xla去前缀变体
mfp_sn_inflowamt2,MFP_SN_INFLOWAMT2,沪深港股通区间净买入量(调整),StartDate、EndDate,xla去前缀变体
mfp_sn_inflowdays,MFP_SN_INFLOWDAYS,区间净流入天数,StartDate、EndDate,xla去前缀变体
mfp_sn_outflowdays,MFP_SN_OUTFLOWDAYS,区间净流出天数,StartDate、EndDate,xla去前缀变体
mfprice,MFPRICE,发行价格,,探测法实测
mfprice1,MFPRICE1,最小变动价位(支持历史),TRADEDATE,xla去前缀变体
mgmt_sub_ratio,MGMT_SUB_RATIO,管理人认购比例,,xla去前缀变体
mgmt_sub_shares,MGMT_SUB_SHARES,管理人认购份额,,xla去前缀变体
mid_impliedvol,MID_IMPLIEDVOL,期权中价隐含波动率,TRADEDATE,xla去前缀变体
mike,MIKE,MIKE麦克指标,,xla原码
minoq,MINOQ,期货合约最小开仓量下单量,TRADEDATE、TYPE,xla去前缀变体
minorityinterest_ttm,MINORITYINTEREST_TTM,少数股东损益(TTM),REPORTDATE,xla去前缀变体
mkt,MKT,上市板,,xla去前缀变体
mkt_cap_ard,MKT_CAP_ARD,总市值,,探测法实测
mkt_cap_ashare,MKT_CAP_ASHARE,A股市值,,探测法实测
mkt_freeshares,MKT_FREESHARES,自由流通市值,,探测法实测
mktcharacter,MKTCHARACTER,所属市场特征板块,,xla去前缀变体
mktpricetype,MKTPRICETYPE,市价类型,,xla去前缀变体
mktpricetype_suph,MKTPRICETYPE_SUPH,市价类型(支持历史),DEALDATE,xla去前缀变体
mmf_annualizedyield,MMF_ANNUALIZEDYIELD,7日年化收益率,,xla去前缀变体
mmf_avgannualizedyield,MMF_AVGANNUALIZEDYIELD,区间7日年化收益率均值,BEGINDATE、EndDate,xla去前缀变体
mmf_avgunityield,MMF_AVGUNITYIELD,区间万份基金单位收益均值,BEGINDATE、EndDate,xla去前缀变体
mmf_bondtoasset,MMF_BONDTOASSET,债券投资占基金资产总值的比例,REPORTDATE,xla去前缀变体
mmf_carryover,MMF_CARRYOVER,份额结转方式,,xla去前缀变体
mmf_carryoverdate,MMF_CARRYOVERDATE,份额结转日期类型,,xla去前缀变体
mmf_deposittoasset,MMF_DEPOSITTOASSET,银行存款和清算备付金合计占基金资产总值的比例,REPORTDATE,xla去前缀变体
mmf_differentptmtonav,MMF_DIFFERENTPTMTONAV,各期限资产占基金资产净值比例,REPORTDATE,xla去前缀变体
mmf_reverserepotoasset,MMF_REVERSEREPOTOASSET,买入返售证券占基金资产总值的比例,REPORTDATE,xla去前缀变体
mmf_totalunityield,MMF_TOTALUNITYIELD,区间万份基金单位收益总值,,xla去前缀变体
mmf_unityield,MMF_UNITYIELD,万份基金单位收益,,xla去前缀变体
mmf_varannualizedyield,MMF_VARANNUALIZEDYIELD,区间7日年化收益率方差,BEGINDATE、EndDate,xla去前缀变体
mmf_varunityield,MMF_VARUNITYIELD,区间万份基金单位收益方差,BEGINDATE、EndDate,xla去前缀变体
modidura_cnbd,MODIDURA_CNBD,修正久期,,探测法实测
modidura_csi,MODIDURA_CSI,估价修正久期(中证指数),,xla去前缀变体
modidura_csi1,MODIDURA_CSI1,估价修正久期(中证指数),DEALDATE、Credibility,xla去前缀变体
moneyness,MONEYNESS,价值状态,TRADEDATE,xla去前缀变体
mq_amount,MQ_AMOUNT,月成交金额(新增),,xla去前缀变体
mq_pctchange,MQ_PCTCHANGE,月涨跌幅(新增),,xla去前缀变体
mq_turn,MQ_TURN,月换手率(新增),,xla去前缀变体
mq_volume,MQ_VOLUME,月成交量(新增),,xla去前缀变体
mrg_bal_int_avg,MRG_BAL_INT_AVG,区间融资融券余额均值,,xla原码
mrg_long_amt,MRG_LONG_AMT,融资余额,,探测法实测
mrg_long_amt_int,MRG_LONG_AMT_INT,区间融资买入额,,xla原码
mrg_long_bal_int_avg,MRG_LONG_BAL_INT_AVG,区间融资余额均值,,xla原码
mrg_long_repay_int,MRG_LONG_REPAY_INT,区间融资偿还额,,xla原码
mrg_short_bal_int_avg,MRG_SHORT_BAL_INT_AVG,区间融券余额均值,,xla原码
mrg_short_vol_bal_int_avg,MRG_SHORT_VOL_BAL_INT_AVG,区间融券余量均值,,xla原码
mrg_short_vol_int,MRG_SHORT_VOL_INT,区间融券卖出量,,xla原码
mrg_short_vol_repay_int,MRG_SHORT_VOL_REPAY_INT,区间融券偿还量,,xla原码
mtm,MTM,MTM动力指标,,xla原码
multimktornot,MULTIMKTORNOT,是否跨市场交易,,xla去前缀变体
multiple,MULTIPLE,边际倍数,,xla去前缀变体
municipalbond,MUNICIPALBOND,是否城投债,,xla去前缀变体
municipalbondwind,MUNICIPALBONDWIND,是否城投债(Wind),,xla去前缀变体
municipalbondyy,MUNICIPALBONDYY,是否城投债(YY),,xla去前缀变体
munitype,MUNITYPE,地方债类型,,xla去前缀变体
mupc,MUPC,最小价格变动单位,,xla去前缀变体
mv_ref,MV_REF,参考总市值,TRADEDATE,xla去前缀变体
nafmiil1type,NAFMIIL1TYPE,NAFMII债券一级分类,,xla去前缀变体
nafmiil2type,NAFMIIL2TYPE,NAFMII债券二级分类,,xla去前缀变体
name_official,NAME_OFFICIAL,基金简称(官方),,xla去前缀变体
nature,NATURE,公司属性,,xla去前缀变体
nature1,NATURE1,公司属性,TRADEDATE,xla去前缀变体
nav,NAV,期末基金份额净值,REPORTDATE,xla去前缀变体
nav_accumulated_transform,NAV_ACCUMULATED_TRANSFORM,累计单位净值(支持转型基金),TRADEDATE,xla去前缀变体
nav_accumulated_transformnf,NAV_ACCUMULATED_TRANSFORMNF,"累计单位净值(支持转型基金,不前推)",TRADEDATE,xla去前缀变体
nav_adjfactor,NAV_ADJFACTOR,基金净值复权因子,TRADEDATE,xla去前缀变体
nav_adjusted_b,NAV_ADJUSTED_B,复权单位净值(前复权),TRADEDATE,xla去前缀变体
nav_adjusted_transform,NAV_ADJUSTED_TRANSFORM,复权单位净值(支持转型基金),TRADEDATE,xla去前缀变体
nav_adjusted_transformnf,NAV_ADJUSTED_TRANSFORMNF,"复权单位净值(支持转型基金,不前推)",TRADEDATE,xla去前缀变体
nav_benchdevreturn,NAV_BENCHDEVRETURN,报告期净值增长率减基准增长率(新增),D,xla去前缀变体
nav_benchreturn,NAV_BENCHRETURN,报告期业绩比较基准增长率(新增),D,xla去前缀变体
nav_benchstddev,NAV_BENCHSTDDEV,报告期业绩比较基准增长率标准差(新增),D,xla去前缀变体
nav_date,NAV_DATE,基金净值日期,,xla去前缀变体
nav_date2,NAV_DATE2,基金净值日期,DEALDATE,xla去前缀变体
nav_exrightdate,NAV_EXRIGHTDATE,最新净值除权日,DEALDATE,xla去前缀变体
nav_firstdate,NAV_FIRSTDATE,净值披露首日,,xla去前缀变体
nav_iopv_discountratio,NAV_IOPV_DISCOUNTRATIO,IOPV溢折率,TRADEDATE,xla去前缀变体
nav_publishtype,NAV_PUBLISHTYPE,基金净值公布类型,,xla去前缀变体
nav_ranking_p,NAV_RANKING_P,同类基金区间收益排名P值,StartDate、EndDate,xla去前缀变体
nav_return,NAV_RETURN,报告期净值增长率(新增),D,xla去前缀变体
nav_sellprice,NAV_SELLPRICE,投连险卖出价,DATE,xla去前缀变体
nav_stddevnavbench,NAV_STDDEVNAVBENCH,报告期净值增长率标准差减基准标准差(新增),D,xla去前缀变体
nav_stddevreturn,NAV_STDDEVRETURN,报告期净值增长率标准差(新增),D,xla去前缀变体
nav_unit_transform,NAV_UNIT_TRANSFORM,单位净值(支持转型基金),TRADEDATE,xla去前缀变体
nav_updatecompleteness,NAV_UPDATECOMPLETENESS,基金净值完整度,StartDate、EndDate、CalcTerm,xla去前缀变体
nav_updatefrequency,NAV_UPDATEFREQUENCY,基金净值更新频率,,xla去前缀变体
nav_winlossratio,NAV_WINLOSSRATIO,基金盈利概率,StartDate、EndDate、CalcTerm,xla去前缀变体
ncatoassets,NCATOASSETS,非流动资产／总资产,REPORTDATE,xla去前缀变体
ncatoequity,NCATOEQUITY,资本固定化比率,REPORTDATE,xla去前缀变体
neeq_green,NEEQ_GREEN,是否绿色通道审核程序挂牌,,xla去前缀变体
neeq_level,NEEQ_LEVEL,所属分层,TRADEDATE,xla去前缀变体
neeq_listanndate,NEEQ_LISTANNDATE,挂牌公告日,,xla去前缀变体
neeq_listdate_innovationlevel,NEEQ_LISTDATE_INNOVATIONLEVEL,创新层挂牌日,,xla去前缀变体
neeq_listingdate,NEEQ_LISTINGDATE,挂牌日,,xla去前缀变体
neeq_marketmakeanndate,NEEQ_MARKETMAKEANNDATE,转做市公告日,,xla去前缀变体
neeq_marketmakernum,NEEQ_MARKETMAKERNUM,做市商家数,TRADEDATE,xla去前缀变体
neeq_park,NEEQ_PARK,挂牌园区,,xla去前缀变体
neeq_standard,NEEQ_STANDARD,所属创新层标准,,xla去前缀变体
neeq_standard2,NEEQ_STANDARD2,所属挂牌标准(支持历史),TRADEDATE,xla去前缀变体
neeq_suspensionday,NEEQ_SUSPENSIONDAY,转板精选层前停牌日,,xla去前缀变体
neeqsharewindcode,NEEQSHAREWINDCODE,同公司新三板代码,,xla去前缀变体
net_cash_flows_oper_act,NET_CASH_FLOWS_OPER_ACT,经营活动现金流净额,,探测法实测
net_cfets,NET_CFETS,估价净价(中国货币网),TRADEDATE,xla去前缀变体
net_cnbd,NET_CNBD,估价净价,,xla去前缀变体
net_csi,NET_CSI,估价净价(中证指数),,xla去前缀变体
net_csi1,NET_CSI1,估价净价(中证指数),DEALDATE、Credibility,xla去前缀变体
net_incr_cash_cash_equ_dm,NET_INCR_CASH_CASH_EQU_DM,现金及等价物净增加,,探测法实测
net_profit_is,NET_PROFIT_IS,净利润(报表),,探测法实测
net_shc,NET_SHC,估价净价(上海清算所),,xla去前缀变体
netask_avg,NETASK_AVG,报价卖出净价(算数平均),,xla去前缀变体
netask_bst,NETASK_BST,报价卖出净价(最优),,xla去前缀变体
netasset_total,NETASSET_TOTAL,基金规模(合计),TRADEDATE,xla去前缀变体
netasset_total2,NETASSET_TOTAL2,基金规模合计,TRADEDATE,xla去前缀变体
netasset_total_cc,NETASSET_TOTAL_CC,"基金规模(合计,币种转换)",TRADEDATE,xla去前缀变体
netbid_avg,NETBID_AVG,报价买入净价(算数平均),,xla去前缀变体
netbid_bst,NETBID_BST,报价买入净价(最优),,xla去前缀变体
netdebt,NETDEBT,净债务,REPORTDATE,xla去前缀变体
netdebttoev,NETDEBTTOEV,净债务／股权价值,,xla去前缀变体
netofferacqpx,NETOFFERACQPX,要约收购价格净价,DEALDATE,xla去前缀变体
netprofit_min,NETPROFIT_MIN,扣非净利与归母净利较小值,REPORTDATE,xla去前缀变体
netprofit_ttm,NETPROFIT_TTM,归属母公司股东的净利润(TTM),,xla去前缀变体
netprofit_ttm2,NETPROFIT_TTM2,归属母公司股东的净利润(TTM),REPORTDATE,xla去前缀变体
netprofitmargin,NETPROFITMARGIN,销售净利率,,探测法实测
netprofitmargin_deducted,NETPROFITMARGIN_DEDUCTED,扣非后销售净利率,REPORTDATE,xla去前缀变体
netprofitmargin_ttm,NETPROFITMARGIN_TTM,销售净利率(TTM),,xla去前缀变体
netprofitmargin_ttm2,NETPROFITMARGIN_TTM2,销售净利率(TTM),REPORTDATE,xla去前缀变体
netprofittoassets,NETPROFITTOASSETS,总资产净利率-不含少数股东损益(TTM),REPORTDATE,xla去前缀变体
netprofittoor_ttm,NETPROFITTOOR_TTM,归属母公司股东的净利润/营业收入(TTM),REPORTDATE,xla去前缀变体
netturndays,NETTURNDAYS,净营业周期,REPORTDATE,xla去前缀变体
networkingcapital,NETWORKINGCAPITAL,净营运资本,REPORTDATE,xla去前缀变体
netyieldindex,NETYIELDINDEX,净收益指数代码,,xla去前缀变体
nextexercisedate,NEXTEXERCISEDATE,下一行权日,DEALDATE、TYPE,xla去前缀变体
non_currentassetsturn,NON_CURRENTASSETSTURN,非流动资产周转率,REPORTDATE,xla去前缀变体
nonconnp_ttm,NONCONNP_TTM,非持续经营净利润(TTM),REPORTDATE、CURTYPE,xla去前缀变体
nonop_ttm,NONOP_TTM,非营业利润(TTM),REPORTDATE、CURTYPE,xla去前缀变体
nonoperateprofit_ttm,NONOPERATEPROFIT_TTM,营业外收支净额(TTM),,xla去前缀变体
nonoperateprofit_ttm2,NONOPERATEPROFIT_TTM2,营业外收支净额(TTM),REPORTDATE,xla去前缀变体
nonoperateprofittoebt,NONOPERATEPROFITTOEBT,营业外收支净额／利润总额,REPORTDATE,xla去前缀变体
nonoperateprofittoebt_ttm,NONOPERATEPROFITTOEBT_TTM,营业外收支净额／利润总额(TTM),,xla去前缀变体
nonoperateprofittoebt_ttm2,NONOPERATEPROFITTOEBT_TTM2,营业外收支净额/利润总额(TTM),REPORTDATE,xla去前缀变体
nonoptoebt_ttm,NONOPTOEBT_TTM,非营业利润/利润总额(TTM),REPORTDATE,xla去前缀变体
noplat,NOPLAT,息前税后经营利润(NOPLAT),REPORTDATE,xla去前缀变体
np_belongto_parcomsh,NP_BELONGTO_PARCOMSH,归母净利润,,探测法实测
npl_trust,NPL_TRUST,不良资产比率,Year,xla去前缀变体
nptocostexpense,NPTOCOSTEXPENSE,成本费用利润率,REPORTDATE,xla去前缀变体
nq_avgvolume,NQ_AVGVOLUME,N日平均成交量,N、TRADEDATE、TRADType,xla去前缀变体
nq_originclose,NQ_ORIGINCLOSE,推N日收盘价(债券),,xla去前缀变体
nq_relpctchange,NQ_RELPCTCHANGE,相对大盘N日涨跌幅(新增),,xla去前缀变体
numberofconstituents,NUMBEROFCONSTITUENTS,成份个数,,xla去前缀变体
numberofconstituents2,NUMBEROFCONSTITUENTS2,成份个数(支持历史),TRADEDATE,xla去前缀变体
numspcproj,NUMSPCPROJ,专项项目数量,,xla去前缀变体
nxcupn,NXCUPN,下一付息日,,xla去前缀变体
nxcupn2,NXCUPN2,距下一付息日天数,,xla去前缀变体
nxoptiondate,NXOPTIONDATE,下一行权日,,xla去前缀变体
obv,OBV,OBV能量潮,,xla原码
ocficftocurrentdebt,OCFICFTOCURRENTDEBT,非筹资性现金净流量与流动负债的比率,REPORTDATE,xla去前缀变体
ocficftodebt,OCFICFTODEBT,非筹资性现金净流量与负债总额的比率,REPORTDATE,xla去前缀变体
ocfps,OCFPS,每股经营活动产生的现金流量净额,REPORTDATE,xla去前缀变体
ocfps_ttm,OCFPS_TTM,每股经营活动产生的现金流量净额(TTM),,xla去前缀变体
ocftoassets,OCFTOASSETS,全部资产现金回收率,REPORTDATE,xla去前缀变体
ocftocf,OCFTOCF,经营活动产生的现金流量净额占比,REPORTDATE,xla去前缀变体
ocftodebt,OCFTODEBT,经营现金流/负债,,探测法实测
ocftodividend,OCFTODIVIDEND,现金股利保障倍数,REPORTDATE,xla去前缀变体
ocftointerest,OCFTOINTEREST,经营现金流/利息,,探测法实测
ocftointerestdebt,OCFTOINTERESTDEBT,经营活动产生的现金流量净额／带息债务,REPORTDATE,xla去前缀变体
ocftoinveststockdividend,OCFTOINVESTSTOCKDIVIDEND,现金满足投资比率,REPORTDATE,xla去前缀变体
ocftolongdebt,OCFTOLONGDEBT,经营活动产生的现金流量净额/非流动负债,REPORTDATE,xla去前缀变体
ocftonetdebt,OCFTONETDEBT,经营活动产生的现金流量净额／净债务,REPORTDATE,xla去前缀变体
ocftoop,OCFTOOP,现金营运指数,REPORTDATE,xla去前缀变体
ocftooperateincome,OCFTOOPERATEINCOME,经营活动产生的现金流量净额／经营活动净收益,REPORTDATE,xla去前缀变体
ocftooperateincome_ttm,OCFTOOPERATEINCOME_TTM,经营活动产生的现金流量净额／经营活动净收益(TTM),,xla去前缀变体
ocftooperateincome_ttm2,OCFTOOPERATEINCOME_TTM2,经营活动产生的现金流量净额/经营活动净收益(TTM),REPORTDATE,xla去前缀变体
ocftoor,OCFTOOR,经营活动产生的现金流量净额／营业收入,REPORTDATE,xla去前缀变体
ocftoor_ttm,OCFTOOR_TTM,经营活动产生的现金流量净额／营业收入(TTM),,xla去前缀变体
ocftoor_ttm2,OCFTOOR_TTM2,经营活动产生的现金流量净额/营业收入(TTM),REPORTDATE,xla去前缀变体
ocftoquickdebt,OCFTOQUICKDEBT,现金到期债务比,REPORTDATE,xla去前缀变体
ocftosales,OCFTOSALES,经营性现金净流量/营业总收入,REPORTDATE,xla去前缀变体
ocftosales_ttm2,OCFTOSALES_TTM2,经营活动产生的现金流量净额/营业收入(TTM),REPORTDATE,xla去前缀变体
ocftoshortdebt,OCFTOSHORTDEBT,经营活动产生的现金流量净额／流动负债,REPORTDATE,xla去前缀变体
offeramt,OFFERAMT,要约金额,DEALDATE,xla去前缀变体
offercncltndate,OFFERCNCLTNDATE,要约注销日,DEALDATE,xla去前缀变体
offerddl,OFFERDDL,要约截止日期,DEALDATE,xla去前缀变体
offertime,OFFERTIME,要约时间,DEALDATE,xla去前缀变体
office,OFFICE,办公地址,,xla去前缀变体
officialstyle,OFFICIALSTYLE,指数风格,,xla去前缀变体
ofrclosingyield_broker,OFRCLOSINGYIELD_BROKER,卖出收盘收益率(经纪商),TRADEDATE,xla去前缀变体
ofryield_broker,OFRYIELD_BROKER,卖出平均价收益率(经纪商),TRADEDATE,xla去前缀变体
oi,OI,持仓量_期货历史同月,DATE,xla去前缀变体
oichange,OICHANGE,持仓变化_期货历史同月,DATE,xla去前缀变体
oiratio,OIRATIO,持仓量认沽认购比率,SettlementMonth、TRADEDATE,xla去前缀变体
op_active_undly,OP_ACTIVE_UNDLY,期权主力标的代码,TRADEDATE,xla去前缀变体
op_cat,OP_CAT,证券类型(期权用),Level,xla去前缀变体
op_multipliertype,OP_MULTIPLIERTYPE,期权规模类型,,xla去前缀变体
op_termtype,OP_TERMTYPE,期权期限类型,,xla去前缀变体
op_ttm,OP_TTM,营业利润(TTM),,xla去前缀变体
op_ttm2,OP_TTM2,营业利润(TTM),REPORTDATE,xla去前缀变体
open,OPEN,开盘价,,探测法实测
open_auction_amount,OPEN_AUCTION_AMOUNT,开盘集合竞价成交额,TRADEDATE,xla去前缀变体
open_auction_amount_t,OPEN_AUCTION_AMOUNT_T,开盘集合竞价成交额(分时段),TRADEDATE、SESSION_TYPE,xla去前缀变体
open_auction_price,OPEN_AUCTION_PRICE,开盘集合竞价成交价,TRADEDATE,xla去前缀变体
open_auction_price_t,OPEN_AUCTION_PRICE_T,开盘集合竞价成交价(分时段),TRADEDATE、SESSION_TYPE,xla去前缀变体
open_auction_volume,OPEN_AUCTION_VOLUME,开盘集合竞价成交量,TRADEDATE,xla去前缀变体
open_auction_volume_t,OPEN_AUCTION_VOLUME_T,开盘集合竞价成交量(分时段),TRADEDATE、SESSION_TYPE,xla去前缀变体
oper_cost,OPER_COST,营业成本,,探测法实测
oper_rev,OPER_REV,营业收入,,探测法实测
operatecaptialturn,OPERATECAPTIALTURN,营运资本周转率,REPORTDATE,xla去前缀变体
operatecashflow_ttm,OPERATECASHFLOW_TTM,经营活动现金净流量(TTM),,xla去前缀变体
operatecashflow_ttm2,OPERATECASHFLOW_TTM2,经营活动现金净流量(TTM),REPORTDATE,xla去前缀变体
operatecashflowtoop_ttm,OPERATECASHFLOWTOOP_TTM,经营活动产生的现金流量净额/营业利润(TTM),REPORTDATE,xla去前缀变体
operateexpense_ttm,OPERATEEXPENSE_TTM,销售费用(TTM),,xla去前缀变体
operateexpense_ttm2,OPERATEEXPENSE_TTM2,销售费用(TTM),REPORTDATE,xla去前缀变体
operateexpensetogr,OPERATEEXPENSETOGR,营业费用／营业总收入,REPORTDATE,xla去前缀变体
operateexpensetogr_ttm,OPERATEEXPENSETOGR_TTM,营业费用／营业总收入(TTM),,xla去前缀变体
operateexpensetogr_ttm2,OPERATEEXPENSETOGR_TTM2,销售费用/营业总收入(TTM),REPORTDATE,xla去前缀变体
operateincome,OPERATEINCOME,经营活动净收益,REPORTDATE,xla去前缀变体
operateincome_ttm,OPERATEINCOME_TTM,经营活动净收益(TTM),,xla去前缀变体
operateincome_ttm2,OPERATEINCOME_TTM2,经营活动净收益(TTM),REPORTDATE,xla去前缀变体
operateincometoebt,OPERATEINCOMETOEBT,经营活动净收益／利润总额,REPORTDATE,xla去前缀变体
